user,eer,roc_auc
2,0.24,0.8718799999999999
3,0.14000000000000007,0.9307
4,0.08000000000000002,0.96444
5,0.04200000000000004,0.9907199999999999
7,0.11100000000000004,0.94468
8,0.06449999999999995,0.98058
10,0.024499999999999966,0.9978
11,0.07600000000000001,0.97968
12,0.022499999999999964,0.99674
13,0.06849999999999995,0.9749800000000001
15,0.10649999999999998,0.93134
16,0.18,0.90134
17,0.029000000000000026,0.9952599999999999
18,0.1205,0.9418
19,0.044499999999999984,0.98948
20,0.14000000000000007,0.93362
21,0.11549999999999999,0.95538
22,0.019000000000000017,0.99356
24,0.04849999999999999,0.99212
25,0.07549999999999996,0.9669
26,0.044499999999999984,0.98324
27,0.06500000000000006,0.9759800000000001
28,0.0625,0.98244
29,0.07100000000000001,0.9791000000000001
30,0.08200000000000002,0.96292
31,0.27549999999999997,0.8262
32,0.276,0.80972
33,0.10900000000000004,0.95006
34,0.14450000000000002,0.9131000000000001
35,0.1955,0.91088
36,0.01100000000000001,0.99986
37,0.10900000000000004,0.9482
38,0.09100000000000003,0.9658200000000001
39,0.07050000000000001,0.95606
40,0.15550000000000003,0.91528
41,0.09800000000000003,0.9619199999999999
42,0.034499999999999975,0.98984
43,0.015499999999999958,0.9952799999999999
44,0.07349999999999995,0.97654
46,0.14450000000000002,0.9342600000000001
47,0.32649999999999996,0.7476799999999999
48,0.06449999999999995,0.97876
49,0.06449999999999995,0.96622
50,0.11100000000000004,0.95772
51,0.10549999999999998,0.9506599999999998
52,0.015499999999999958,0.99578
53,0.029000000000000026,0.99656
54,0.069,0.97138
55,0.011499999999999955,0.99886
56,0.08000000000000002,0.9571
57,0.1175,0.95184
